,rho,p,adjusted_p,class
Nfu_g_1_009443,-0.215727748652002,0.300353651353564,0.443617824098106,Not-significant
Nfu_g_1_009449,0.0431455497304005,0.837745377706391,0.893625112421611,Not-significant
Nfu_g_1_009455,0.0313785816221094,0.881635040062385,0.921798104209485,Not-significant
Nfu_g_1_009457,-0.274562589193458,0.184103649838659,0.310810095036659,Not-significant
Nfu_g_1_009459,0.0706018086497463,0.737357202676773,0.823855833281519,Not-significant
Nfu_g_1_009460,0.176504521624366,0.39867142321844,0.543269263497915,Not-significant
Nfu_g_1_009463,-0.0902134221635647,0.66803205233369,0.772604432391058,Not-significant
Nfu_g_1_009466,-0.141203617299493,0.500782978173739,0.635675743002512,Not-significant
Nfu_g_1_009467,-0.180426844327129,0.388102670136387,0.532453019842575,Not-significant
Nfu_g_1_009468,0.19219381243542,0.357367764287643,0.502382161195517,Not-significant
Nfu_g_1_009470,-0.207883103246475,0.318691655075453,0.46297842638434,Not-significant
Nfu_g_1_009472,0.345164397843204,0.0910558495858241,0.186109822437322,Not-significant
Nfu_g_1_009476,-0.26671794378793,0.197463359351832,0.326417006997902,Not-significant
Nfu_g_1_009478,-0.333397429734913,0.103391626829764,0.204249448100639,Not-significant
Nfu_g_1_009482,-0.290251880004512,0.15928683734018,0.279329499863439,Not-significant
Nfu_g_1_009492,-0.380465302168077,0.0606280966718385,0.137463429796771,Not-significant
Nfu_g_1_009501,-0.14904826270502,0.477037786485908,0.614423181736526,Not-significant
Nfu_g_1_009505,0.360853688654259,0.0763679797260964,0.163110169204386,Not-significant
Nfu_g_1_009517,0.125514326488438,0.549963870548087,0.678557961234978,Not-significant
Nfu_g_1_009527,-0.325552784329386,0.11227732095945,0.216413226538287,Not-significant
Nfu_g_1_009529,0.207883103246475,0.318691655075453,0.46297842638434,Not-significant
Nfu_g_1_009532,0.00784464540552736,0.970313113331037,0.97810639677483,Not-significant
Nfu_g_1_009537,0.0588348405414552,0.779972051548535,0.853861421122196,Not-significant
Nfu_g_1_009547,-0.278484911896221,0.177663585732654,0.303085762653005,Not-significant
Nfu_g_1_009548,0.278484911896221,0.177663585732654,0.303085762653005,Not-significant
Nfu_g_1_009549,0.105902712974619,0.614384247084078,0.730322480498578,Not-significant
Nfu_g_1_009553,0.0784464540552736,0.709351883365135,0.803797019836036,Not-significant
Nfu_g_1_009554,-0.160815230813311,0.442529305353942,0.585179789621811,Not-significant
Nfu_g_1_009560,-0.403999238384659,0.0451895199799391,0.110276665173787,Not-significant
Nfu_g_1_009564,-0.203960780543711,0.328111469597594,0.473816664879136,Not-significant
