,rho,p,adjusted_p,class
ENSGALG00000031991,0.47908370155185,0.0976379901518529,0.286607054849799,Not-significant
ENSGALG00000032004,-0.5323152239465,0.0611121755843359,0.215877286485374,Not-significant
ENSGALG00000032022,-0.381025633982758,0.198964290126434,0.427252089782838,Not-significant
ENSGALG00000032036,-0.0812481131286762,0.791886121545254,0.90133246283632,Not-significant
ENSGALG00000032039,0.51153247229104,0.0739693113330772,0.245210275891728,Not-significant
ENSGALG00000032051,0.0784464540552736,0.798928084452603,0.903171839452181,Not-significant
ENSGALG00000032060,-0.616364996148578,0.0248705395927782,0.12285420322224,Not-significant
ENSGALG00000032097,0.459200478402494,0.114446772522964,0.313622410311122,Not-significant
ENSGALG00000032143,0.112066362936105,0.715485420452925,0.860839210283192,Not-significant
ENSGALG00000032145,-0.0392232270276368,0.898767233488208,0.951421933619335,Not-significant
ENSGALG00000032146,0.26615761197325,0.379422160644462,0.613802364429401,Not-significant
ENSGALG00000032148,0.448265451744421,0.124472657234047,0.32887364414941,Not-significant
ENSGALG00000032149,-0.310984157147692,0.301031451115563,0.538533060080699,Not-significant
ENSGALG00000032156,0.2129260895786,0.48490500717958,0.703070662382851,Not-significant
ENSGALG00000032161,0.123272999229716,0.688259213450927,0.842193775782122,Not-significant
ENSGALG00000032173,0.336199088808316,0.261380847122059,0.499831155175446,Not-significant
ENSGALG00000032178,0.0840497722020789,0.784858666138217,0.897798553331367,Not-significant
ENSGALG00000032181,-0.193314476064781,0.526871764086017,0.734265279747429,Not-significant
ENSGALG00000032190,0.582745087267747,0.0366101995724376,0.156376225700933,Not-significant
ENSGALG00000032199,0.00280165907340263,0.992752475177311,0.994835236002731,Not-significant
ENSGALG00000032231,0.100859726642495,0.743025058861409,0.875938759164228,Not-significant
ENSGALG00000032234,0.249347657532834,0.411335252984173,0.640437796100358,Not-significant
ENSGALG00000032249,-0.501496974139071,0.0808078580066221,0.257183456747133,Not-significant
ENSGALG00000032250,0.0924547494222868,0.763868090408717,0.887745143470873,Not-significant
ENSGALG00000032260,-0.274562589193458,0.363970686906632,0.599038496832399,Not-significant
ENSGALG00000032270,0.0812481131286762,0.791886121545254,0.90133246283632,Not-significant
