,rho,p,adjusted_p,class
FBgn0034269,-0.309614259797333,0.150530632210973,0.3758158583523,Not-significant
FBgn0034272,-0.136741968083469,0.533840782200777,0.742020549443568,Not-significant
FBgn0034274,0.0995465808446628,0.651333377160451,0.811055672063279,Not-significant
FBgn0034276,-0.140780124718392,0.521711212966094,0.73254282823332,Not-significant
FBgn0034277,0.0693699165279033,0.753131638303402,0.869348093760864,Not-significant
FBgn0034281,0.209129895415002,0.338230585514018,0.576623071305347,Not-significant
FBgn0034282,-0.318795572278967,0.138172301936983,0.355965676203835,Not-significant
FBgn0034284,0.211560680719064,0.332516857979501,0.571986574401449,Not-significant
FBgn0034286,-0.190767270451734,0.383254792176528,0.620636994843361,Not-significant
FBgn0034288,0.455491874505693,0.028951440765584,0.137543573680206,Not-significant
FBgn0034289,0.433870009350741,0.0385986369554628,0.165847257575937,Not-significant
FBgn0034290,-0.0739605727687204,0.737337159505862,0.862338985464003,Not-significant
FBgn0034291,0.194287107049745,0.374371655712619,0.611980916216745,Not-significant
FBgn0034292,0.491191543247198,0.0173060541003079,0.100127164491822,Not-significant
FBgn0034293,0.465186499069469,0.0253037518517299,0.128052710593523,Not-significant
FBgn0034294,0.283753548408078,0.189483349544937,0.409920643497427,Not-significant
FBgn0034295,0.407951573168312,0.0533116870365687,0.197946435463796,Not-significant
FBgn0034296,0.433991035285438,0.0385383755160447,0.16565998371977,Not-significant
FBgn0034299,0.258606968232698,0.233468019992004,0.459807952141271,Not-significant
FBgn0034300,-0.0760008644313058,0.730349828632298,0.857295899519467,Not-significant
FBgn0034307,0.0392756145047688,0.858783257599256,0.932162683674717,Not-significant
FBgn0034310,0.484059196948384,0.0192603214568983,0.107248897619298,Not-significant
FBgn0034313,0.371333082590541,0.0810653557264575,0.254842798666655,Not-significant
FBgn0034314,-0.0647792602870861,0.769022435795244,0.879717742651999,Not-significant
FBgn0034315,0.128028301827233,0.560455064639874,0.763516266063153,Not-significant
FBgn0034321,-0.0902829060694035,0.682044992424685,0.831998212900084,Not-significant
FBgn0034322,-0.0556116875678772,0.801021087783676,0.898884259126716,Not-significant
FBgn0034323,-0.42604008519067,0.0426575712377587,0.17663438240694,Not-significant
FBgn0034324,-0.407841667895776,0.0533821723985815,0.197946435463796,Not-significant
FBgn0034325,-0.257639109898355,0.235284438209048,0.460475196116174,Not-significant
FBgn0034327,0.298392655653113,0.166670004349746,0.399348727257688,Not-significant
FBgn0034328,0.427951176227285,0.0416373775615182,0.17437846066447,Not-significant
FBgn0034329,0.423870592902115,0.0438393111137073,0.179513485821751,Not-significant
FBgn0034330,-0.0102014583129269,0.963153127196417,0.982661046383659,Not-significant
FBgn0034331,0.0622288957088544,0.777890108148687,0.88568026754717,Not-significant
FBgn0034345,0.339708561820467,0.112759007997897,0.313679077415601,Not-significant
FBgn0034352,-0.190814414223726,0.3831350297945,0.620636994843361,Not-significant
FBgn0034360,-0.0244834999510247,0.911706024434786,0.95931444198021,Not-significant
FBgn0034362,-0.20810974958371,0.340645796224302,0.579844986239242,Not-significant
FBgn0034363,0.168136693584734,0.443157796490261,0.67489338499682,Not-significant
FBgn0034364,-0.312164624375565,0.147022241193912,0.370126442985382,Not-significant
FBgn0034365,0.341748853483053,0.110476438889292,0.310020605628877,Not-significant
FBgn0034366,0.251976020329296,0.246098028648406,0.47286998386717,Not-significant
FBgn0034377,0.220351499559222,0.312339710751534,0.551249820280494,Not-significant
FBgn0034379,-0.144860708043563,0.509589244659172,0.725183232677788,Not-significant
FBgn0034382,0.268075947324081,0.216183004896292,0.438787511315744,Not-significant
FBgn0034383,-0.282048645726545,0.192272152487504,0.409920643497427,Not-significant
FBgn0034390,-0.366232353434077,0.0856616554715549,0.265097472104183,Not-significant
FBgn0034391,-0.197398218355136,0.366619203378131,0.605083097916324,Not-significant
FBgn0034392,-0.00816116665034156,0.970519004930588,0.986406363308825,Not-significant
FBgn0034394,-0.332567541001419,0.121019223000253,0.328023181796594,Not-significant
FBgn0034397,0.114766406020428,0.602063908837035,0.790497339464329,Not-significant
FBgn0034398,0.462126061575591,0.0264130846298687,0.13106272862793,Not-significant
FBgn0034402,-0.0923231977319889,0.675236755269928,0.826592966956435,Not-significant
FBgn0034403,0.332139528501726,0.121527868638659,0.329127856920505,Not-significant
FBgn0034406,-0.272889009870796,0.207733178299988,0.428581805447992,Not-significant
FBgn0034411,0.0721265895288912,0.743635182234561,0.86627608901217,Not-significant
FBgn0034413,-0.29134918686034,0.177394654121301,0.409920643497427,Not-significant
FBgn0034415,0.0995465808446628,0.651333377160451,0.811055672063279,Not-significant
