,rho,p,adjusted_p,class
Nfu_g_1_000033,-0.356931365951495,0.0798582399000738,0.280310059925552,Not-significant
Nfu_g_1_000034,0.403999238384659,0.0451895199799391,0.203908448761938,Not-significant
Nfu_g_1_000038,0.203960780543711,0.328111469597594,0.592754157200103,Not-significant
Nfu_g_1_000039,-0.160815230813311,0.442529305353942,0.689360617316808,Not-significant
Nfu_g_1_000044,-0.086291099460801,0.681708334347298,0.845755338055262,Not-significant
Nfu_g_1_000046,0.376542979465313,0.0635558154019295,0.24765024570103,Not-significant
Nfu_g_1_000050,-0.160815230813311,0.442529305353942,0.689360617316808,Not-significant
Nfu_g_1_000054,0.243184007571348,0.24145533685971,0.508086840718384,Not-significant
Nfu_g_1_000055,0.202228154358127,0.332325605425115,0.599929754810979,Not-significant
Nfu_g_1_000058,0.274562589193458,0.184103649838659,0.440541672603542,Not-significant
Nfu_g_1_000060,-0.200038457840948,0.337697858096159,0.601734953403137,Not-significant
Nfu_g_1_000064,-0.011766968108291,0.955481654680904,0.978590978422023,Not-significant
Nfu_g_1_000065,0.231417039463057,0.265691154365466,0.534565207839067,Not-significant
Nfu_g_1_000066,0.105902712974619,0.614384247084078,0.805708510370054,Not-significant
Nfu_g_1_000068,0.152970585407784,0.46538490775331,0.706418359517088,Not-significant
Nfu_g_1_000069,-0.141203617299493,0.500782978173739,0.734061912828932,Not-significant
Nfu_g_1_000076,-0.427533174601241,0.0330247003620006,0.171690323130674,Not-significant
Nfu_g_1_000077,-0.188271489732657,0.367449695440563,0.628527366152346,Not-significant
Nfu_g_1_000081,-0.26671794378793,0.197463359351832,0.456311666935006,Not-significant
Nfu_g_1_000085,-0.258873298382403,0.211470151868833,0.472375503802584,Not-significant
Nfu_g_1_000091,-0.17958833064522,0.390348560633778,0.651062765076604,Not-significant
Nfu_g_1_000094,0.196116135138184,0.347450201330874,0.611633335403736,Not-significant
Nfu_g_1_000095,-0.0550184244324302,0.793933605596334,0.906580988311013,Not-significant
Nfu_g_1_000099,0.200038457840948,0.33769785809616,0.601734953403137,Not-significant
Nfu_g_1_000101,-0.184349167029893,0.377695026141099,0.63746891739604,Not-significant
Nfu_g_1_000103,0.011766968108291,0.955481654680904,0.978590978422023,Not-significant
Nfu_g_1_000104,0.0156892908110547,0.940664565885102,0.973680683521935,Not-significant
Nfu_g_1_000105,-0.443222465412296,0.0264830222594402,0.151512856563968,Not-significant
Nfu_g_1_000108,-0.101980390271856,0.62763037393172,0.813497629207249,Not-significant
Nfu_g_1_000112,-0.368698334059786,0.0697368623741285,0.259880620257705,Not-significant
Nfu_g_1_000113,0,1,1,Not-significant
Nfu_g_1_000115,-0.454989433520587,0.022297340795603,0.13843630948849,Not-significant
Nfu_g_1_000119,0.360853688654259,0.0763679797260964,0.273780865088961,Not-significant
Nfu_g_1_000121,0.262795621085167,0.204385339860688,0.464507874467789,Not-significant
Nfu_g_1_000122,-0.141203617299493,0.500782978173739,0.734061912828932,Not-significant
Nfu_g_1_000130,0.282407234598985,0.171381688014954,0.423179951791722,Not-significant
Nfu_g_1_000132,-0.219650071354766,0.291436130144059,0.560419292372887,Not-significant
Nfu_g_1_000133,0.0451153879523217,0.830440304402036,0.927303278339213,Not-significant
Nfu_g_1_000146,0.454989433520587,0.0222973407956029,0.13843630948849,Not-significant
Nfu_g_1_000152,-0.188271489732657,0.367449695440563,0.628527366152346,Not-significant
Nfu_g_1_000154,-0.274562589193458,0.184103649838659,0.440541672603542,Not-significant
Nfu_g_1_000167,-0.0745241313525099,0.723311326587754,0.866556877663893,Not-significant
Nfu_g_1_000168,0.321630461626622,0.11692512212938,0.345441572802631,Not-significant
Nfu_g_1_000169,-0.423610851898478,0.034846543356559,0.176530878384531,Not-significant
Nfu_g_1_000171,-0.200038457840948,0.337697858096159,0.601734953403137,Not-significant
Nfu_g_1_000177,0.29809652541004,0.147807245164158,0.39004580355037,Not-significant
Nfu_g_1_000180,-0.419688529195714,0.036747524238119,0.1814306017317,Not-significant
Nfu_g_1_000184,0.462834078926114,0.0198176445349946,0.129876349006125,Not-significant
Nfu_g_1_000185,0.294174202707276,0.153470919840469,0.39747604409284,Not-significant
Nfu_g_1_000186,-0.011766968108291,0.955481654680904,0.978590978422023,Not-significant
Nfu_g_1_000187,-0.227494716760293,0.27410488031915,0.543438427187366,Not-significant
Nfu_g_1_000189,-0.176504521624366,0.39867142321844,0.655891604295454,Not-significant
Nfu_g_1_000190,-0.098058067569092,0.640989413882094,0.821996130730901,Not-significant
Nfu_g_1_000192,-0.086291099460801,0.681708334347298,0.845755338055262,Not-significant
Nfu_g_1_000194,-0.176504521624366,0.39867142321844,0.655891604295454,Not-significant
Nfu_g_1_000200,0.160815230813311,0.442529305353942,0.689360617316808,Not-significant
Nfu_g_1_000204,-0.349086720545968,0.0871998662328871,0.295912148801945,Not-significant
Nfu_g_1_000205,0.294174202707276,0.153470919840469,0.39747604409284,Not-significant
Nfu_g_1_000214,-0.0353009043248731,0.866960958554899,0.94258461030508,Not-significant
