"tissue","cell_type","odds_ratio","p_val","p_adj","bias"
"skin","keratinocyte stem cell",1.14522085547619,0.426111517616767,0.837815262042591,"young-biased"
"skin","T cell",0.871703996725505,0.448848829181012,0.8478255662308,"young-biased"
"kidney","macrophage",0.454349948203438,0.0508637926317608,0.566010398682283,"young-biased"
"kidney","fenestrated cell",1.54173062051893,0.141949433020186,0.567797732080744,"young-biased"
"kidney","mesangial cell",1.57935582107446,0.0852492886363839,0.566010398682283,"young-biased"
"kidney","kidney loop of Henle ascending limb epithelial cell",0.959395241748033,1,1,"young-biased"
"kidney","kidney collecting duct principal cell",1.10082519486866,0.859139377880972,0.988441967731591,"young-biased"
"kidney","epithelial cell of proximal tubule",3.65881932563745,0.109492960325282,0.566010398682283,"young-biased"
"kidney","kidney collecting duct epithelial cell",1.05510328604277,0.805314702439155,0.988441967731591,"young-biased"
"kidney","B cell",0.639097223778462,0.738104795290818,0.988441967731591,"young-biased"
"kidney","T cell",1.20650873374273,0.799341506030955,0.988441967731591,"young-biased"
