FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
nan,3m,I21.D045140.3_38_F.1.1,granulocyte,CL:0000094,granulocyte,facs,3_38_F,I21.D045140.3_38_F.1.1-1-1,female,Granulocytes,Marrow
nan,3m,I21.MAA000399.3_9_M.1.1,valve cell,CL:0000186,valve cell,facs,3_9_M,I21.MAA000399.3_9_M.1.1-1-1,male,RV,Heart
nan,3m,I21.MAA000400.3_8_M.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_8_M,I21.MAA000400.3_8_M.1.1-1-1,male,LA,Heart
nan,3m,I21.MAA000427.3_11_M.1.1,bulge keratinocyte,CL:0002337,outer bulge,facs,3_11_M,I21.MAA000427.3_11_M.1.1-1-1,male,Anagen,Skin
nan,3m,I21.MAA000435.3_10_M.1.1,nan,nan,nan,facs,3_10_M,I21.MAA000435.3_10_M.1.1-1-1,male,Anagen,Skin
nan,3m,I21.MAA000452.3_8_M.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_8_M,I21.MAA000452.3_8_M.1.1-1-1,male,RV,Heart
nan,3m,I21.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,nan,facs,3_10_M,I21.MAA000487.3_10_M.1.1-1-1,male,nan,Bladder
nan,3m,I21.MAA000496.3_10_M.1.1,endothelial cell,CL:0000115,nan,facs,3_10_M,I21.MAA000496.3_10_M.1.1-1-1,male,nan,Trachea
nan,3m,I21.MAA000510.3_8_M.1.1,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,facs,3_8_M,I21.MAA000510.3_8_M.1.1-1-1,male,Fat,SCAT
nan,3m,I21.MAA000526.3_9_M.1.1,NK cell,CL:0000623,Natural Killer,facs,3_9_M,I21.MAA000526.3_9_M.1.1-1-1,male,nan,Lung
nan,3m,I21.MAA000530.3_8_M.1.1,"CD4-positive, alpha-beta T cell",CL:0000084,CD4+ T,facs,3_8_M,I21.MAA000530.3_8_M.1.1-1-1,male,nan,Lung
nan,3m,I21.MAA000531.3_8_M.1.1,endothelial cell,CL:0000115,nan,facs,3_8_M,I21.MAA000531.3_8_M.1.1-1-1,male,Fat,MAT
nan,3m,I21.MAA000570.3_8_M.1.1,microglial cell,CL:0000129,nan,facs,3_8_M,I21.MAA000570.3_8_M.1.1-1-1,male,Cerebellum,Brain_Myeloid
nan,3m,I21.MAA000571.3_9_M.1.1,microglial cell,CL:0000129,nan,facs,3_9_M,I21.MAA000571.3_9_M.1.1-1-1,male,Cerebellum,Brain_Myeloid
nan,3m,I21.MAA000572.3_8_M.1.1,microglial cell,CL:0000129,nan,facs,3_8_M,I21.MAA000572.3_8_M.1.1-1-1,male,Cortex,Brain_Myeloid
nan,3m,I21.MAA000573.3_9_M.1.1,microglial cell,CL:0000129,nan,facs,3_9_M,I21.MAA000573.3_9_M.1.1-1-1,male,Cortex,Brain_Myeloid
nan,3m,I21.MAA000574.3_8_M.1.1,leukocyte,CL:0000738,nan,facs,3_8_M,I21.MAA000574.3_8_M.1.1-1-1,male,Exocrine,Pancreas
nan,3m,I21.MAA000577.3_8_M.1.1,endothelial cell,CL:0002410,nan,facs,3_8_M,I21.MAA000577.3_8_M.1.1-1-1,male,Endocrine,Pancreas
nan,3m,I21.MAA000581.3_10_M.1.1,endothelial cell,CL:0000115,Endothelial cell,facs,3_10_M,I21.MAA000581.3_10_M.1.1-1-1,male,Cerebellum,Brain_Non-Myeloid
nan,3m,I21.MAA000583.3_9_M.1.1,intestinal crypt stem cell,CL:0002253,nan,facs,3_9_M,I21.MAA000583.3_9_M.1.1-1-1,male,Distal,Large_Intestine
nan,3m,I21.MAA000590.3_9_M.1.1,microglial cell,CL:0000129,nan,facs,3_9_M,I21.MAA000590.3_9_M.1.1-1-1,male,Striatum,Brain_Myeloid
nan,3m,I21.MAA000592.3_9_M.1.1,microglial cell,CL:0000129,nan,facs,3_9_M,I21.MAA000592.3_9_M.1.1-1-1,male,Hippocampus,Brain_Myeloid
nan,3m,I21.MAA000594.3_8_M.1.1,fibroblast of cardiac tissue,CL:0000057,nan,facs,3_8_M,I21.MAA000594.3_8_M.1.1-1-1,male,Heart,Aorta
nan,3m,I21.MAA000595.3_9_M.1.1,macrophage,CL:0000145,leukocyte,facs,3_9_M,I21.MAA000595.3_9_M.1.1-1-1,male,Heart,Aorta
nan,3m,I21.MAA000596.3_9_M.1.1,hematopoietic stem cell,CL:0000051,MPP Fraction B + C,facs,3_9_M,I21.MAA000596.3_9_M.1.1-1-1,male,KLS,Marrow
nan,3m,I21.MAA000597.3_9_M.1.1,bulge keratinocyte,CL:0002337,outer bulge,facs,3_9_M,I21.MAA000597.3_9_M.1.1-1-1,male,Anagen,Skin
nan,3m,I21.MAA000600.3_8_M.1.1,hematopoietic stem cell,CL:0000051,MPP Fraction B + C,facs,3_8_M,I21.MAA000600.3_8_M.1.1-1-1,male,KLS,Marrow
nan,3m,I21.MAA000603.3_10_M.1.1,microglial cell,CL:0000129,nan,facs,3_10_M,I21.MAA000603.3_10_M.1.1-1-1,male,Hippocampus,Brain_Myeloid
nan,3m,I21.MAA000605.3_10_M.1.1,microglial cell,CL:0000129,nan,facs,3_10_M,I21.MAA000605.3_10_M.1.1-1-1,male,Cerebellum,Brain_Myeloid
nan,3m,I21.MAA000607.3_9_M.1.1,thymocyte,CL:0002420,"proliferating thymocyte; DN to DP transition, dividing (some are Cd8+/ Cd4+, some undergoing VDJ recombination)",facs,3_9_M,I21.MAA000607.3_9_M.1.1-1-1,male,nan,Thymus
nan,3m,I21.MAA000609.3_8_M.1.1,DN4 thymocyte,CL:0002420,DN4 thymocyte,facs,3_8_M,I21.MAA000609.3_8_M.1.1-1-1,male,nan,Thymus
nan,3m,I21.MAA000611.3_8_M.1.1,enterocyte of epithelium of large intestine,CL:0002253,nan,facs,3_8_M,I21.MAA000611.3_8_M.1.1-1-1,male,Proximal,Large_Intestine
nan,3m,I21.MAA000612.3_9_M.1.1,enterocyte of epithelium of large intestine,CL:0002253,nan,facs,3_9_M,I21.MAA000612.3_9_M.1.1-1-1,male,Proximal,Large_Intestine
nan,3m,I21.MAA000638.3_9_M.1.1,nan,nan,nan,facs,3_9_M,I21.MAA000638.3_9_M.1.1-1-1,male,Cerebellum,Brain_Non-Myeloid
nan,3m,I21.MAA000639.3_9_M.1.1,granulocyte,CL:0000094,granulocyte,facs,3_9_M,I21.MAA000639.3_9_M.1.1-1-1,male,Granulocytes,Marrow
nan,3m,I21.MAA000652.3_10_M.1.1,late pro-B cell,CL:0002048,late pro B cell,facs,3_10_M,I21.MAA000652.3_10_M.1.1-1-1,male,B-cells,Marrow
nan,3m,I21.MAA000776.3_10_M.1.1,B cell,CL:0000236,CD79a B cell,facs,3_10_M,I21.MAA000776.3_10_M.1.1-1-1,male,nan,Spleen
nan,3m,I21.MAA000779.3_11_M.1.1,B cell,CL:0000236,CD79a B cell,facs,3_11_M,I21.MAA000779.3_11_M.1.1-1-1,male,nan,Spleen
nan,3m,I21.MAA000844.3_10_M.1.1,naive B cell,CL:0000788,naïve B cell,facs,3_10_M,I21.MAA000844.3_10_M.1.1-1-1,male,T-cells,Marrow
nan,3m,I21.MAA000848.3_10_M.1.1,hematopoietic stem cell,CL:0008001,MPP Fraction A + HSC,facs,3_10_M,I21.MAA000848.3_10_M.1.1-1-1,male,KLS,Marrow
nan,3m,I21.MAA000870.3_10_M.1.1,enterocyte of epithelium of large intestine,CL:0002071,nan,facs,3_10_M,I21.MAA000870.3_10_M.1.1-1-1,male,Distal,Large_Intestine
nan,3m,I21.MAA000871.3_11_M.1.1,enteroendocrine cell,CL:0000164,nan,facs,3_11_M,I21.MAA000871.3_11_M.1.1-1-1,male,Proximal,Large_Intestine
nan,3m,I21.MAA000880.3_11_M.1.1,DN4 thymocyte,CL:0002420,DN4 thymocyte,facs,3_11_M,I21.MAA000880.3_11_M.1.1-1-1,male,nan,Thymus
nan,3m,I21.MAA000891.3_10_M.1.1,neutrophil,CL:0000738,Neutrophil,facs,3_10_M,I21.MAA000891.3_10_M.1.1-1-1,male,nan,Lung
nan,3m,I21.MAA000899.3_10_M.1.1,monocyte,CL:0000738,monocyte,facs,3_10_M,I21.MAA000899.3_10_M.1.1-1-1,male,RA,Heart
nan,3m,I21.MAA000907.3_11_M.1.1,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell of hepatic sinusoid,facs,3_11_M,I21.MAA000907.3_11_M.1.1-1-1,male,Non-hepatocytes,Liver
nan,3m,I21.MAA000908.3_10_M.1.1,aortic endothelial cell,CL:0000115,aorta endothelial cell,facs,3_10_M,I21.MAA000908.3_10_M.1.1-1-1,male,Heart,Aorta
nan,3m,I21.MAA000909.3_10_M.1.1,epithelial cell of large intestine,CL:0002071,Lgr5- amplifying undifferentiated cell,facs,3_10_M,I21.MAA000909.3_10_M.1.1-1-1,male,Proximal,Large_Intestine
nan,3m,I21.MAA000910.3_10_M.1.1,nan,nan,nan,facs,3_10_M,I21.MAA000910.3_10_M.1.1-1-1,male,Exocrine,Pancreas
nan,3m,I21.MAA000913.3_9_M.1.1,endothelial cell,CL:0000115,nan,facs,3_9_M,I21.MAA000913.3_9_M.1.1-1-1,male,Fat,GAT
nan,3m,I21.MAA000917.3_11_M.1.1,endothelial cell of coronary artery,CL:0000115,coronary vascular endothelial cell,facs,3_11_M,I21.MAA000917.3_11_M.1.1-1-1,male,LV,Heart
nan,3m,I21.MAA000920.3_11_M.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_11_M,I21.MAA000920.3_11_M.1.1-1-1,male,LA,Heart
nan,3m,I21.MAA000924.3_8_M.1.1,nan,nan,nan,facs,3_8_M,I21.MAA000924.3_8_M.1.1-1-1,male,Cerebellum,Brain_Non-Myeloid
nan,3m,I21.MAA000926.3_9_M.1.1,astrocyte,CL:0000127,nan,facs,3_9_M,I21.MAA000926.3_9_M.1.1-1-1,male,Cortex,Brain_Non-Myeloid
nan,3m,I21.MAA000927.3_9_M.1.1,bulge keratinocyte,CL:0002337,outer bulge,facs,3_9_M,I21.MAA000927.3_9_M.1.1-1-1,male,Telogen,Skin
nan,3m,I21.MAA000932.3_11_M.1.1,oligodendrocyte,CL:0000128,nan,facs,3_11_M,I21.MAA000932.3_11_M.1.1-1-1,male,Hippocampus,Brain_Non-Myeloid
nan,3m,I21.MAA000934.3_9_M.1.1,endothelial cell,CL:0000115,nan,facs,3_9_M,I21.MAA000934.3_9_M.1.1-1-1,male,Fat,SCAT
nan,3m,I21.MAA000935.3_8_M.1.1,oligodendrocyte,CL:0000128,nan,facs,3_8_M,I21.MAA000935.3_8_M.1.1-1-1,male,Hippocampus,Brain_Non-Myeloid
nan,3m,I21.MAA000936.3_9_M.1.1,monocyte,CL:0000738,monocyte,facs,3_9_M,I21.MAA000936.3_9_M.1.1-1-1,male,RA,Heart
nan,3m,I21.MAA000937.3_8_M.1.1,large intestine goblet cell,CL:1000320,"Goblet cell, top of crypt (Distal)",facs,3_8_M,I21.MAA000937.3_8_M.1.1-1-1,male,Distal,Large_Intestine
nan,3m,I21.MAA000938.3_8_M.1.1,bulge keratinocyte,CL:0002337,outer bulge,facs,3_8_M,I21.MAA000938.3_8_M.1.1-1-1,male,Telogen,Skin
nan,3m,I21.MAA000944.3_9_M.1.1,oligodendrocyte,CL:0000128,nan,facs,3_9_M,I21.MAA000944.3_9_M.1.1-1-1,male,Cortex,Brain_Non-Myeloid
nan,3m,I21.MAA001539.3_56_F.1.1,large intestine goblet cell,CL:1000320,"Goblet cell, top of crypt (Distal)",facs,3_56_F,I21.MAA001539.3_56_F.1.1-1-1,female,Distal,Large_Intestine
nan,3m,I21.MAA001632.3_56_F.1.1,large intestine goblet cell,CL:1000320,nan,facs,3_56_F,I21.MAA001632.3_56_F.1.1-1-1,female,Proximal,Large_Intestine
nan,3m,I21.MAA001844.3_38_F.1.1,hematopoietic stem cell,CL:0002035,MPP Fraction B,facs,3_38_F,I21.MAA001844.3_38_F.1.1-1-1,female,KLS,Marrow
nan,3m,I21.MAA001847.3_39_F.1.1,"CD8-positive, alpha-beta T cell",CL:0000623,CD8+ T,facs,3_39_F,I21.MAA001847.3_39_F.1.1-1-1,female,EPCAM,Lung
nan,3m,I21.MAA001857.3_38_F.1.1,pancreatic B cell,CL:0000169,nan,facs,3_38_F,I21.MAA001857.3_38_F.1.1-1-1,female,Endocrine,Pancreas
nan,3m,I21.MAA001861.3_39_F.1.1,pancreatic ductal cell,CL:0002079,pancreatic ductal cell,facs,3_39_F,I21.MAA001861.3_39_F.1.1-1-1,female,Exocrine,Pancreas
nan,3m,I21.MAA001865.3_38_F.1.1,fibroblast,CL:0008019,nan,facs,3_38_F,I21.MAA001865.3_38_F.1.1-1-1,female,nan,Trachea
nan,3m,I21.MAA001867.3_39_F.1.1,chondrocyte,CL:0008019,nan,facs,3_39_F,I21.MAA001867.3_39_F.1.1-1-1,female,nan,Trachea
nan,3m,I21.MAA001868.3_38_F.1.1,pancreatic ductal cell,CL:0002079,pancreatic ductal cell,facs,3_38_F,I21.MAA001868.3_38_F.1.1-1-1,female,Exocrine,Pancreas
nan,3m,I21.MAA001869.3_38_F.1.1,enterocyte of epithelium of large intestine,CL:0002071,nan,facs,3_38_F,I21.MAA001869.3_38_F.1.1-1-1,female,Proximal,Large_Intestine
nan,3m,I21.MAA001872.3_39_F.1.1,epithelial cell of large intestine,CL:0002253,Lgr5- amplifying undifferentiated cell,facs,3_39_F,I21.MAA001872.3_39_F.1.1-1-1,female,Proximal,Large_Intestine
nan,3m,I21.MAA001873.3_38_F.1.1,large intestine goblet cell,CL:1000320,"Goblet cell, top of crypt (Distal)",facs,3_38_F,I21.MAA001873.3_38_F.1.1-1-1,female,Distal,Large_Intestine
nan,3m,I21.MAA001875.3_39_F.1.1,intestinal crypt stem cell,CL:0002253,Lgr5+ undifferentiated cell (Distal),facs,3_39_F,I21.MAA001875.3_39_F.1.1-1-1,female,Distal,Large_Intestine
nan,3m,I21.MAA001883.3_39_F.1.1,precursor B cell,CL:0000817,pre B cell,facs,3_39_F,I21.MAA001883.3_39_F.1.1-1-1,female,B-cells,Marrow
nan,3m,I21.MAA001884.3_38_F.1.1,naive B cell,CL:0000788,naïve B cell,facs,3_38_F,I21.MAA001884.3_38_F.1.1-1-1,female,B-cells,Marrow
nan,3m,I21.MAA001889.3_38_F.1.1,nan,CL:0000499,nan,facs,3_38_F,I21.MAA001889.3_38_F.1.1-1-1,female,EPCAM,Lung
nan,3m,I21.MAA001892.3_38_F.1.1,nan,CL:0000860,nan,facs,3_38_F,I21.MAA001892.3_38_F.1.1-1-1,female,Endomucin,Lung
nan,3m,I22.B000126.3_39_F.1.1,bulge keratinocyte,CL:0002337,inner bulge,facs,3_39_F,I22.B000126.3_39_F.1.1-1-1,female,Telogen,Skin
nan,3m,I22.B000127.3_38_F.1.1,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,facs,3_38_F,I22.B000127.3_38_F.1.1-1-1,female,Fat,SCAT
nan,3m,I22.B000166.3_56_F.1.1,nan,CL:0000499,nan,facs,3_56_F,I22.B000166.3_56_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B000167.3_56_F.1.1,nan,CL:0000499,nan,facs,3_56_F,I22.B000167.3_56_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B000168.3_57_F.1.1,nan,nan,nan,facs,3_57_F,I22.B000168.3_57_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B000633.3_56_F.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_56_F,I22.B000633.3_56_F.1.1-1-1,female,RV,Heart
nan,3m,I22.B000636.3_56_F.1.1,endothelial cell of coronary artery,CL:0000115,coronary vascular endothelial cell,facs,3_56_F,I22.B000636.3_56_F.1.1-1-1,female,LV,Heart
nan,3m,I22.B000826.3_39_F.1.1,microglial cell,CL:0000129,nan,facs,3_39_F,I22.B000826.3_39_F.1.1-1-1,female,Cortex,Brain_Myeloid
nan,3m,I22.B000827.3_38_F.1.1,DN4 thymocyte,CL:0002420,DN4 thymocyte,facs,3_38_F,I22.B000827.3_38_F.1.1-1-1,female,Flowthrough,Thymus
nan,3m,I22.B000971.3_39_F.1.1,B cell,CL:0000236,CD79a B cell,facs,3_39_F,I22.B000971.3_39_F.1.1-1-1,female,nan,Spleen
nan,3m,I22.B001176.3_56_F.1.1,microglial cell,CL:0000129,nan,facs,3_56_F,I22.B001176.3_56_F.1.1-1-1,female,Striatum,Brain_Myeloid
nan,3m,I22.B001216.3_38_F.1.1,endothelial cell,CL:0000115,nan,facs,3_38_F,I22.B001216.3_38_F.1.1-1-1,female,Fat,BAT
nan,3m,I22.B001689.3_38_F.1.1,microglial cell,CL:0000129,nan,facs,3_38_F,I22.B001689.3_38_F.1.1-1-1,female,Hippocampus,Brain_Myeloid
nan,3m,I22.B001960.3_56_F.1.1,endothelial cell,CL:0000115,nan,facs,3_56_F,I22.B001960.3_56_F.1.1-1-1,female,Fat,BAT
nan,3m,I22.B002010.3_39_F.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_39_F,I22.B002010.3_39_F.1.1-1-1,female,RA,Heart
nan,3m,I22.B002421.3_39_F.1.1,endothelial cell of coronary artery,CL:0000115,coronary vascular endothelial cell,facs,3_39_F,I22.B002421.3_39_F.1.1-1-1,female,LV,Heart
nan,3m,I22.B002423.3_39_F.1.1,endothelial cell of coronary artery,CL:0000115,coronary vascular endothelial cell,facs,3_39_F,I22.B002423.3_39_F.1.1-1-1,female,RV,Heart
nan,3m,I22.B002427.3_39_F.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_39_F,I22.B002427.3_39_F.1.1-1-1,female,LA,Heart
nan,3m,I22.B002428.3_38_F.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_38_F,I22.B002428.3_38_F.1.1-1-1,female,LA,Heart
nan,3m,I22.B002429.3_38_F.1.1,endothelial cell of coronary artery,CL:0000115,coronary vascular endothelial cell,facs,3_38_F,I22.B002429.3_38_F.1.1-1-1,female,LV,Heart
nan,3m,I22.B002431.3_39_F.1.1,nan,nan,nan,facs,3_39_F,I22.B002431.3_39_F.1.1-1-1,female,Heart,Aorta
nan,3m,I22.B002432.3_38_F.1.1,basal cell,CL:0000646,basal cell,facs,3_38_F,I22.B002432.3_38_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B002433.3_38_F.1.1,basal cell,CL:0000646,basal cell,facs,3_38_F,I22.B002433.3_38_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B002435.3_39_F.1.1,nan,CL:0000115,nan,facs,3_39_F,I22.B002435.3_39_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B002436.3_39_F.1.1,basal cell,CL:0000646,basal cell,facs,3_39_F,I22.B002436.3_39_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B002437.3_39_F.1.1,basal cell,CL:0000646,basal cell,facs,3_39_F,I22.B002437.3_39_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B002438.3_38_F.1.1,basal cell,CL:0000646,basal cell,facs,3_38_F,I22.B002438.3_38_F.1.1-1-1,female,Mammary_Gland,Mammary_Gland
nan,3m,I22.B002765.3_38_F.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_38_F,I22.B002765.3_38_F.1.1-1-1,female,ForelimbandHindlimb,Limb_Muscle
nan,3m,I22.B002769.3_39_F.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_39_F,I22.B002769.3_39_F.1.1-1-1,female,ForelimbandHindlimb,Limb_Muscle
nan,3m,I22.B002777.3_39_F.1.1,basal cell of epidermis,CL:0002187,nan,facs,3_39_F,I22.B002777.3_39_F.1.1-1-1,female,nan,Tongue
nan,3m,I22.B002954.3_56_F.1.1,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,facs,3_56_F,I22.B002954.3_56_F.1.1-1-1,female,Fat,SCAT
nan,3m,I22.B003274.3_38_F.1.1,nan,nan,nan,facs,3_38_F,I22.B003274.3_38_F.1.1-1-1,female,Striatum,Brain_Non-Myeloid
nan,3m,I22.B003277.3_39_F.1.1,nan,CL:0000128,nan,facs,3_39_F,I22.B003277.3_39_F.1.1-1-1,female,Hippocampus,Brain_Non-Myeloid
nan,3m,I22.B003279.3_38_F.1.1,microglial cell,CL:0000129,nan,facs,3_38_F,I22.B003279.3_38_F.1.1-1-1,female,Cerebellum,Brain_Myeloid
nan,3m,I22.B003281.3_39_F.1.1,microglial cell,CL:0000129,nan,facs,3_39_F,I22.B003281.3_39_F.1.1-1-1,female,Hippocampus,Brain_Myeloid
nan,3m,I22.B003283.3_38_F.1.1,bulge keratinocyte,CL:0002337,outer bulge,facs,3_38_F,I22.B003283.3_38_F.1.1-1-1,female,Telogen,Skin
nan,3m,I22.B003284.3_39_F.1.1,nan,nan,nan,facs,3_39_F,I22.B003284.3_39_F.1.1-1-1,female,Epithelium,Thymus
nan,3m,I22.B003291.3_39_F.1.1,thymocyte,CL:0002420,"DN to DP transition (most are Cd8+/ Cd4+, some undergoing VDJ recombination)",facs,3_39_F,I22.B003291.3_39_F.1.1-1-1,female,Flowthrough,Thymus
nan,3m,I22.D041894.3_9_M.1.1,basal cell of epidermis,CL:0002187,nan,facs,3_9_M,I22.D041894.3_9_M.1.1-1-1,male,nan,Tongue
nan,3m,I22.D041904.3_10_M.1.1,basal cell of epidermis,CL:0002187,nan,facs,3_10_M,I22.D041904.3_10_M.1.1-1-1,male,nan,Tongue
nan,3m,I22.D041911.3_8_M.1.1,basal cell of epidermis,CL:0002187,nan,facs,3_8_M,I22.D041911.3_8_M.1.1-1-1,male,nan,Tongue
nan,3m,I22.D041912.3_8_M.1.1,granulocyte,CL:0000094,granulocyte,facs,3_8_M,I22.D041912.3_8_M.1.1-1-1,male,Granulocytes,Marrow
nan,3m,I22.D041914.3_8_M.1.1,bladder urothelial cell,CL:1001428,nan,facs,3_8_M,I22.D041914.3_8_M.1.1-1-1,male,nan,Bladder
nan,3m,I22.D042044.3_9_M.1.1,precursor B cell,CL:0000817,pre B cell,facs,3_9_M,I22.D042044.3_9_M.1.1-1-1,male,B-cells,Marrow
nan,3m,I22.D042105.3_11_M.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_11_M,I22.D042105.3_11_M.1.1-1-1,male,Limb_Muscle,Diaphragm
nan,3m,I22.D042180.3_10_M.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_10_M,I22.D042180.3_10_M.1.1-1-1,male,Limb_Muscle,Diaphragm
nan,3m,I22.D042185.3_9_M.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_9_M,I22.D042185.3_9_M.1.1-1-1,male,ForelimbandHindlimb,Limb_Muscle
nan,3m,I22.D042186.3_8_M.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_8_M,I22.D042186.3_8_M.1.1-1-1,male,ForelimbandHindlimb,Limb_Muscle
nan,3m,I22.D042253.3_9_M.1.1,bladder urothelial cell,CL:1001428,nan,facs,3_9_M,I22.D042253.3_9_M.1.1-1-1,male,nan,Bladder
nan,3m,I22.D042467.3_9_M.1.1,naive B cell,CL:0000788,naïve B cell,facs,3_9_M,I22.D042467.3_9_M.1.1-1-1,male,T-cells,Marrow
nan,3m,I22.D042473.3_10_M.1.1,mesenchymal stem cell,CL:0000134,nan,facs,3_10_M,I22.D042473.3_10_M.1.1-1-1,male,ForelimbandHindlimb,Limb_Muscle
nan,3m,I22.D042474.3_8_M.1.1,macrophage,CL:0000081,nan,facs,3_8_M,I22.D042474.3_8_M.1.1-1-1,male,nan,Trachea
nan,3m,I22.D042475.3_9_M.1.1,fibroblast,CL:0008019,nan,facs,3_9_M,I22.D042475.3_9_M.1.1-1-1,male,nan,Trachea
nan,3m,I22.D042479.3_8_M.1.1,naive B cell,CL:0000788,naïve B cell,facs,3_8_M,I22.D042479.3_8_M.1.1-1-1,male,B-cells,Marrow
nan,3m,I22.D043522.3_39_F.1.1,classical monocyte,CL:0000860,Classical Monocyte,facs,3_39_F,I22.D043522.3_39_F.1.1-1-1,female,Endomucin,Lung
nan,3m,I22.D043526.3_39_F.1.1,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,facs,3_39_F,I22.D043526.3_39_F.1.1-1-1,female,Fat,SCAT
nan,3m,I22.D045064.3_38_F.1.1,nan,nan,nan,facs,3_38_F,I22.D045064.3_38_F.1.1-1-1,female,Fat,MAT
nan,3m,I22.D045139.3_39_F.1.1,granulocytopoietic cell,CL:0000094,granulocytopoietic cell,facs,3_39_F,I22.D045139.3_39_F.1.1-1-1,female,Granulocytes,Marrow
nan,3m,I22.D045140.3_38_F.1.1,granulocyte,CL:0000094,granulocyte,facs,3_38_F,I22.D045140.3_38_F.1.1-1-1,female,Granulocytes,Marrow
nan,3m,I22.MAA000377.3_9_M.1.1,"CD4-positive, alpha-beta T cell",CL:0000623,nan,facs,3_9_M,I22.MAA000377.3_9_M.1.1-1-1,male,Non-hepatocytes,Liver
nan,3m,I22.MAA000385.3_10_M.1.1,endothelial cell,CL:0000115,nan,facs,3_10_M,I22.MAA000385.3_10_M.1.1-1-1,male,Fat,SCAT
nan,3m,I22.MAA000386.3_11_M.1.1,endothelial cell,CL:0000115,nan,facs,3_11_M,I22.MAA000386.3_11_M.1.1-1-1,male,Fat,SCAT
nan,3m,I22.MAA000388.3_11_M.1.1,endothelial cell,CL:0000115,nan,facs,3_11_M,I22.MAA000388.3_11_M.1.1-1-1,male,Fat,GAT
nan,3m,I22.MAA000398.3_9_M.1.1,valve cell,CL:0000186,valve cell,facs,3_9_M,I22.MAA000398.3_9_M.1.1-1-1,male,LA,Heart
nan,3m,I22.MAA000399.3_9_M.1.1,smooth muscle cell,CL:0000192,smooth muscle cell,facs,3_9_M,I22.MAA000399.3_9_M.1.1-1-1,male,RV,Heart
nan,3m,I22.MAA000400.3_8_M.1.1,fibroblast of cardiac tissue,CL:0000057,fibroblast of cardiac tissue,facs,3_8_M,I22.MAA000400.3_8_M.1.1-1-1,male,LA,Heart
nan,3m,I22.MAA000409.3_10_M.1.1,granulocyte,CL:0000094,granulocyte,facs,3_10_M,I22.MAA000409.3_10_M.1.1-1-1,male,Granulocytes,Marrow
nan,3m,I22.MAA000427.3_11_M.1.1,bulge keratinocyte,CL:0002337,outer bulge,facs,3_11_M,I22.MAA000427.3_11_M.1.1-1-1,male,Anagen,Skin
nan,3m,I22.MAA000439.3_10_M.1.1,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,facs,3_10_M,I22.MAA000439.3_10_M.1.1-1-1,male,Fat,GAT
nan,3m,I22.MAA000442.3_11_M.1.1,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,facs,3_11_M,I22.MAA000442.3_11_M.1.1-1-1,male,Fat,BAT
nan,3m,I22.MAA000452.3_8_M.1.1,endothelial cell of coronary artery,CL:0000115,coronary vascular endothelial cell,facs,3_8_M,I22.MAA000452.3_8_M.1.1-1-1,male,RV,Heart
nan,3m,I22.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,nan,facs,3_10_M,I22.MAA000487.3_10_M.1.1-1-1,male,nan,Bladder
nan,3m,I22.MAA000496.3_10_M.1.1,fibroblast,CL:0008019,nan,facs,3_10_M,I22.MAA000496.3_10_M.1.1-1-1,male,nan,Trachea
