FACS.selection,age,cell,cell_ontology_class,cell_ontology_id,free_annotation,method,mouse.id,obs_names,sex,subtissue,tissue
Multiple,18m,O9_B000802,nan,nan,nan,facs,18_47_F,O9_B000802_B009022_S345.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O9_B000927,nan,nan,nan,facs,18_46_F,O9_B000927_B007456_S345.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,O9_B001059,oligodendrocyte,nan,nan,facs,18_46_F,O9_B001059_B009342_S345.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,O9_B001361,nan,nan,nan,facs,18_46_F,O9_B001361_B007505_S345.mm10-plus-0-0,female,RV,Heart
Viable,18m,O9_B002452,"CD8-positive, alpha-beta T cell",nan,nan,facs,18_47_F,O9_B002452_B009020_S345.mm10-plus-0-0,female,nan,Spleen
Viable,18m,O9_B002831,endothelial cell,nan,nan,facs,18_47_F,O9_B002831_B007445_S345.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,O9_B002832,nan,nan,nan,facs,18_47_F,O9_B002832_B007443_S345.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,O9_B002850,basal cell of epidermis,nan,Basal IFE,facs,18_47_F,O9_B002850_B007342_S345.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O9_B003262,endothelial cell,nan,new-cluster,facs,18_45_M,O9_B003262_B007459_S345.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O9_B003263,mesenchymal stem cell,nan,nan,facs,18_45_M,O9_B003263_B007458_S345.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,O9_B003294,macrophage,nan,nan,facs,18_47_F,O9_B003294_B007450_S345.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,O9_D045342,B cell,nan,CD79a B cell,facs,18_45_M,O9_D045342_B009019_S345.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,O9_D045382,basal cell of epidermis,nan,nan,facs,18_45_M,O9_D045382_B009006_S345.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,P10_B000235,nan,nan,nan,facs,18_53_M,P10_B000235_B007504_S370.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,P10_B000497,bulge keratinocyte,nan,nan,facs,18_53_M,P10_B000497_B009023_S370.mm10-plus-0-0,male,nan,Skin
Multiple,18m,P10_B000524,keratinocyte,nan,new-cluster,facs,18_53_M,P10_B000524_B009242_S370.mm10-plus-0-0,male,nan,Trachea
Viable,18m,P10_B000756,pancreatic B cell,nan,nan,facs,18_45_M,P10_B000756_B007446_S370.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,P10_B000802,basal cell of epidermis,nan,nan,facs,18_47_F,P10_B000802_B009022_S370.mm10-plus-0-0,female,Skin Anagen,Skin
Neurons,18m,P10_B001059,nan,nan,nan,facs,18_46_F,P10_B001059_B009342_S370.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,P10_B001361,nan,nan,nan,facs,18_46_F,P10_B001361_B007505_S370.mm10-plus-0-0,female,RV,Heart
Viable,18m,P10_B002452,nan,nan,nan,facs,18_47_F,P10_B002452_B009020_S370.mm10-plus-0-0,female,nan,Spleen
Viable,18m,P10_B002831,pancreatic D cell,nan,nan,facs,18_47_F,P10_B002831_B007445_S370.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,P10_B002832,nan,nan,nan,facs,18_47_F,P10_B002832_B007443_S370.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,P10_B002850,epidermal cell,nan,nan,facs,18_47_F,P10_B002850_B007342_S370.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,P10_B003262,skeletal muscle satellite cell,nan,nan,facs,18_45_M,P10_B003262_B007459_S370.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,P10_B003263,macrophage,nan,nan,facs,18_45_M,P10_B003263_B007458_S370.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,P10_B003294,B cell,nan,nan,facs,18_47_F,P10_B003294_B007450_S370.mm10-plus-0-0,female,Muscle forelimb and hindlimb,Limb_Muscle
Viable,18m,P10_D045342,B cell,nan,CD79a B cell,facs,18_45_M,P10_D045342_B009019_S370.mm10-plus-0-0,male,nan,Spleen
Multiple,18m,P10_D045382,nan,nan,nan,facs,18_45_M,P10_D045382_B009006_S370.mm10-plus-0-0,male,nan,Tongue
Multiple,18m,P11_B000235,nan,nan,nan,facs,18_53_M,P11_B000235_B007504_S371.mm10-plus-0-0,male,Thymus Epithelium,Thymus
Multiple,18m,P11_B000497,basal cell of epidermis,nan,nan,facs,18_53_M,P11_B000497_B009023_S371.mm10-plus-0-0,male,nan,Skin
Multiple,18m,P11_B000524,keratinocyte,nan,new-cluster,facs,18_53_M,P11_B000524_B009242_S371.mm10-plus-0-0,male,nan,Trachea
Viable,18m,P11_B000756,pancreatic A cell,nan,nan,facs,18_45_M,P11_B000756_B007446_S371.mm10-plus-0-0,male,Endocrine,Pancreas
Multiple,18m,P11_B000802,bulge keratinocyte,nan,outer bulge,facs,18_47_F,P11_B000802_B009022_S371.mm10-plus-0-0,female,Skin Anagen,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,P11_B000927,T cell,nan,nan,facs,18_46_F,P11_B000927_B007456_S371.mm10-plus-0-0,female,Muscle Diaphragm,Limb_Muscle
Neurons,18m,P11_B001059,nan,nan,nan,facs,18_46_F,P11_B001059_B009342_S371.mm10-plus-0-0,female,Striatum ,Brain_Non-Myeloid
Viable,18m,P11_B001361,nan,nan,nan,facs,18_46_F,P11_B001361_B007505_S371.mm10-plus-0-0,female,RV,Heart
Viable,18m,P11_B002452,"CD4-positive, alpha-beta T cell",nan,Cd3e T cell,facs,18_47_F,P11_B002452_B009020_S371.mm10-plus-0-0,female,nan,Spleen
Viable,18m,P11_B002831,pancreatic D cell,nan,nan,facs,18_47_F,P11_B002831_B007445_S371.mm10-plus-0-0,female,Endocrine,Pancreas
Viable,18m,P11_B002832,nan,nan,nan,facs,18_47_F,P11_B002832_B007443_S371.mm10-plus-0-0,female,Exocrine,Pancreas
Multiple,18m,P11_B002850,bulge keratinocyte,nan,outer bulge,facs,18_47_F,P11_B002850_B007342_S371.mm10-plus-0-0,female,nan,Skin
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,P11_B003262,B cell,nan,nan,facs,18_45_M,P11_B003262_B007459_S371.mm10-plus-0-0,male,Limb_Muscle,Diaphragm
"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",18m,P11_B003263,B cell,nan,nan,facs,18_45_M,P11_B003263_B007458_S371.mm10-plus-0-0,male,forelimb and hindlimb,Limb_Muscle
